File,Sheet,Total Rows,Removed Rows,Total Cells,Removed Cells,Removed Whitespaces,Total Columns,Removed Columns,Original Size,Cleaned Size,Size Reduction Factor
C:/Temp/excelshrinktest/downloaded\01011970_Auszug_GV.xlsx,Erläuterungen,0,0,0,0,0,0,0,760,742,0.02368421052631579
C:/Temp/excelshrinktest/downloaded\01011970_Auszug_GV.xlsx,Gemeindeverbandsdaten,989,0,11868,56,0,12,2,488569,486891,0.0034345199961520276
C:/Temp/excelshrinktest/downloaded\01011970_Auszug_GV.xlsx,Gemeindedaten,23439,1,304694,1271,0,13,0,12314651,12287591,0.0021973826136039098
C:/Temp/excelshrinktest/downloaded\01011970_Auszug_GV.xlsx,Inhalt,43,21,64,36,0,6,1,7406,4941,0.3328382392654604
C:/Temp/excelshrinktest/downloaded\01011975_Auszug_GV.xlsx,Erläuterungen,0,0,0,0,0,0,0,760,742,0.02368421052631579
C:/Temp/excelshrinktest/downloaded\01011975_Auszug_GV.xlsx,Gemeindeverbandsdaten,546,0,5501,73,0,13,0,245290,243584,0.00695503281829671
C:/Temp/excelshrinktest/downloaded\01011975_Auszug_GV.xlsx,Gemeindedaten,11421,0,110920,1003,0,11,0,4872419,4850138,0.004572882586657674
C:/Temp/excelshrinktest/downloaded\01011975_Auszug_GV.xlsx,Inhalt,43,20,65,36,0,6,1,7470,5079,0.3200803212851406
C:/Temp/excelshrinktest/downloaded\02-bundeslaender.xlsx,Bundesländer_mit_Hauptstädten,56,1,364,9,0,6,2,16961,16540,0.02482164966688285
C:/Temp/excelshrinktest/downloaded\02-bundeslaender.xlsx,Deckblatt,43,31,105,87,0,6,1,6722,3037,0.5481999404939006
C:/Temp/excelshrinktest/downloaded\02_BundeslaenderVorjahr.xlsx,Bundesländer_mit_Hauptstädten,56,1,364,9,0,6,2,16958,16537,0.024826040806698903
C:/Temp/excelshrinktest/downloaded\02_BundeslaenderVorjahr.xlsx,Deckblatt,43,31,105,87,0,6,1,6722,3037,0.5481999404939006
C:/Temp/excelshrinktest/downloaded\03-regierungsbezirke.xlsx,Regierungsbezirke,56,3,372,57,0,8,0,17996,16626,0.07612802845076684
C:/Temp/excelshrinktest/downloaded\03-regierungsbezirke.xlsx,Deckblatt,45,33,145,127,0,11,6,7930,2928,0.6307692307692307
C:/Temp/excelshrinktest/downloaded\03_RegierungsbezirkeVorjahr.xlsx,Regierungsbezirke,56,3,372,57,0,8,0,17994,16624,0.07613648994109147
C:/Temp/excelshrinktest/downloaded\03_RegierungsbezirkeVorjahr.xlsx,Deckblatt,45,33,145,127,0,11,6,7930,2928,0.6307692307692307
C:/Temp/excelshrinktest/downloaded\04-kreise.xlsx,Kreisfreie Städte u. Landkreise,656,168,4677,752,0,577,568,240273,172059,0.2839020614051516
C:/Temp/excelshrinktest/downloaded\04-kreise.xlsx,Deckblatt,45,33,99,81,0,11,6,6887,2939,0.5732539567300712
C:/Temp/excelshrinktest/downloaded\04_KreiseVorjahr.xlsx,Kreisfreie Städte u. Landkreise,657,169,4685,760,0,577,568,240448,172020,0.28458544051104606
C:/Temp/excelshrinktest/downloaded\04_KreiseVorjahr.xlsx,Deckblatt,45,33,99,81,0,11,6,6887,2939,0.5732539567300712
C:/Temp/excelshrinktest/downloaded\05-staedte.xlsx,Städte,2284,212,27782,943,0,830,819,1213378,1119997,0.07695952951182566
C:/Temp/excelshrinktest/downloaded\05-staedte.xlsx,Deckblatt,41,29,77,59,0,6,1,6051,2886,0.5230540406544373
C:/Temp/excelshrinktest/downloaded\05_StaedteVorjahr.xlsx,Städte,2283,212,27769,943,0,830,819,1212735,1119354,0.07700033395589309
C:/Temp/excelshrinktest/downloaded\05_StaedteVorjahr.xlsx,Deckblatt,41,29,77,59,0,6,1,6051,2886,0.5230540406544373
C:/Temp/excelshrinktest/downloaded\06-staedte-einwohner-groessen.xlsx,Städte Einwohnergrößenklassen,59,8,644,160,0,705,694,76313,22669,0.7029470732378493
C:/Temp/excelshrinktest/downloaded\06-staedte-einwohner-groessen.xlsx,Deckblatt,41,29,80,62,0,6,1,6059,2845,0.5304505694008912
C:/Temp/excelshrinktest/downloaded\06_Staedte_EinwohnergroessenVorjahr.xlsx,Städte Einwohnergrößenklassen,59,8,644,160,0,705,694,76313,22669,0.7029470732378493
C:/Temp/excelshrinktest/downloaded\06_Staedte_EinwohnergroessenVorjahr.xlsx,Deckblatt,41,29,80,62,0,6,1,6059,2845,0.5304505694008912
C:/Temp/excelshrinktest/downloaded\08-gemeinden-einwohner-groessen.xlsx,Einwohnergrößen,108,17,1886,240,0,1856,1837,222658,69831,0.6863755176099668
C:/Temp/excelshrinktest/downloaded\08-gemeinden-einwohner-groessen.xlsx,Deckblatt,40,28,92,74,0,6,1,6218,2916,0.5310389192666453
C:/Temp/excelshrinktest/downloaded\08_Gemeinden_EinwohnergroessenklassenVorjahr.xlsx,Einwohnergrößen,108,17,1886,240,0,1856,1837,222652,69825,0.6863940139769685
C:/Temp/excelshrinktest/downloaded\08_Gemeinden_EinwohnergroessenklassenVorjahr.xlsx,Deckblatt,40,28,92,74,0,6,1,6218,2916,0.5310389192666453
C:/Temp/excelshrinktest/downloaded\10-arbeitsagentur.xlsx,Daten,10833,3,119447,365,0,11,0,5196801,5189206,0.0014614760118773068
C:/Temp/excelshrinktest/downloaded\10-arbeitsagentur.xlsx,Deckblatt,40,28,92,74,0,6,1,6227,2925,0.5302713987473904
C:/Temp/excelshrinktest/downloaded\10_ArbeitsagenturVorjahr.xlsx,Daten,10834,3,119458,365,0,11,0,5196798,5189203,0.0014614768555560559
C:/Temp/excelshrinktest/downloaded\10_ArbeitsagenturVorjahr.xlsx,Deckblatt,40,28,92,74,0,6,1,6227,2925,0.5302713987473904
C:/Temp/excelshrinktest/downloaded\11-arbeitsmarktregion.xlsx,Daten,240,3,2956,1238,0,9,0,99268,75193,0.24252528508683563
C:/Temp/excelshrinktest/downloaded\11-arbeitsmarktregion.xlsx,Deckblatt,40,28,92,74,0,6,1,6221,2919,0.5307828323420672
C:/Temp/excelshrinktest/downloaded\11ArbeitsmarktregionVorjahr.xlsx,Daten,240,3,2956,1238,0,9,0,99286,75211,0.24248131660052777
C:/Temp/excelshrinktest/downloaded\11ArbeitsmarktregionVorjahr.xlsx,Deckblatt,40,28,92,74,0,6,1,6221,2919,0.5307828323420672
C:/Temp/excelshrinktest/downloaded\12-gerichte.xlsx,Amtsgerichtsbezirke,659,2,6727,780,0,10,0,265138,249789,0.05789060790984318
C:/Temp/excelshrinktest/downloaded\12-gerichte.xlsx,Deckblatt,38,26,91,73,0,6,1,6133,2951,0.5188325452470243
C:/Temp/excelshrinktest/downloaded\12_GerichteVorjahr.xlsx,Amtsgerichtsbezirke,659,2,6727,780,0,10,0,265165,249830,0.0578319159768446
C:/Temp/excelshrinktest/downloaded\12_GerichteVorjahr.xlsx,Deckblatt,38,26,91,73,0,6,1,6133,2951,0.5188325452470243
C:/Temp/excelshrinktest/downloaded\13-finanzamt.xlsx,Finanzamtsbezirke,10865,3,108700,61,0,11,0,4674065,4672668,0.0002988833060729793
C:/Temp/excelshrinktest/downloaded\13-finanzamt.xlsx,Deckblatt,40,28,92,74,0,6,1,6302,2965,0.5295144398603618
C:/Temp/excelshrinktest/downloaded\13_FinanzamtVorjahr.xlsx,Finanzamtsbezirke,10869,3,108740,61,0,11,0,4676638,4675241,0.0002987188659887723
