scope,category,category_causes,metric,input_file,file,sheet_file,sheet_or_workbook,original_size_bytes,cleaned_size_bytes,reduction_bytes,reduction_ratio,reduction_percent,sheet_or_workbook_count,mean_sheet_original_size,mean_sheet_cleaned_size,mean_sheet_reduction_bytes,mean_sheet_reduction_ratio,mean_sheet_reduction_percent
sheet_or_workbook,Overall Reduction,,absolute_bytes,frpp_public_dataset_fy24_07022025_af7affc7a554.xlsx,frpp_public_dataset_fy24_07022025_af7affc7a554.xlsx,xl/worksheets/sheet1.xml,xl/worksheets/sheet1.xml,1363857396,31801284,1332056112,0.9766828378881336,97.66828378881335,,,,,,
sheet_or_workbook,Overall Reduction,,relative_ratio,vegetation-santa-clara-and-santa-cruz-counties-ds3116-ff659__a4b6cd4e-4a94-4fab-92c9-dd062bb24e73_d72ec7a02605.xlsx,vegetation-santa-clara-and-santa-cruz-counties-ds3116-ff659__a4b6cd4e-4a94-4fab-92c9-dd062bb24e73_d72ec7a02605.xlsx,xl/worksheets/sheet.xml,xl/worksheets/sheet.xml,785818726,122,785818604,0.9999998447479095,99.99998447479095,,,,,,
excel_file,Overall Reduction,,absolute_bytes,frpp_public_dataset_fy24_07022025_af7affc7a554.xlsx,frpp_public_dataset_fy24_07022025_af7affc7a554.xlsx,,,1363859103,31802991,1332056112,0.9766816154762286,97.66816154762286,2,681929551.5,15901495.5,666028056.0,0.4883414189440668,48.83414189440668
excel_file,Overall Reduction,,relative_ratio,vegetation-santa-clara-and-santa-cruz-counties-ds3116-ff659__a4b6cd4e-4a94-4fab-92c9-dd062bb24e73_d72ec7a02605.xlsx,vegetation-santa-clara-and-santa-cruz-counties-ds3116-ff659__a4b6cd4e-4a94-4fab-92c9-dd062bb24e73_d72ec7a02605.xlsx,,,785819042,438,785818604,0.9999994426197679,99.9999442619768,2,392909521.0,219.0,392909302.0,0.49999992237395474,49.999992237395475
sheet_or_workbook,Empty Cells,PreprocessEmptySelfClosingCells;EmptyCellsWithoutContent;EmptyHiddenCells,absolute_bytes,PFAS_BSAF_DATA__2__49658e04b555.xlsx,PFAS_BSAF_DATA__2__49658e04b555.xlsx,xl/worksheets/sheet1.xml,xl/worksheets/sheet1.xml,637977753,4773245,573679080,0.8992148665096164,89.92148665096164,,,,,,
sheet_or_workbook,Empty Cells,PreprocessEmptySelfClosingCells;EmptyCellsWithoutContent;EmptyHiddenCells,relative_ratio,growth-and-yield-data-for-the-bushland-texas-maize-for-grain-datasets__cf0bea58-02ee-4946-bdb2-f96aaff8f421_9a09decb1b3c.xlsx,growth-and-yield-data-for-the-bushland-texas-maize-for-grain-datasets__cf0bea58-02ee-4946-bdb2-f96aaff8f421_9a09decb1b3c.xlsx,xl/worksheets/sheet1.xml,xl/worksheets/sheet1.xml,2058790,5534,2053256,0.9973120133670749,99.73120133670749,,,,,,
excel_file,Empty Cells,PreprocessEmptySelfClosingCells;EmptyCellsWithoutContent;EmptyHiddenCells,absolute_bytes,Adage_oilprice_main_results_42eeaec3f7ff.xlsx,Adage_oilprice_main_results_42eeaec3f7ff.xlsx,,,1258668635,212411926,756262247,0.6008430066266012,60.08430066266012,33,38141473.78787879,6436725.03030303,31704748.757575758,0.5303152705673294,53.03152705673294
excel_file,Empty Cells,PreprocessEmptySelfClosingCells;EmptyCellsWithoutContent;EmptyHiddenCells,relative_ratio,Copy of Test 5 Results Sheet CAC_WRR_cd75134e995d.xlsx,Copy of Test 5 Results Sheet CAC_WRR_cd75134e995d.xlsx,,,2989011,49103,2938500,0.9831010993268342,98.31010993268342,4,747252.75,12275.75,734977.0,0.4965296424776551,49.65296424776551
sheet_or_workbook,Empty Rows,EmptyRowsWithoutVisibleStyleOrHeight,absolute_bytes,spreadsheet-for-lysimeter-data-analysis-bushland-texas-c1205__85c000cd-0630-4110-ab27-0a61dc45d039_998d0226df50.xlsx,spreadsheet-for-lysimeter-data-analysis-bushland-texas-c1205__85c000cd-0630-4110-ab27-0a61dc45d039_998d0226df50.xlsx,xl/worksheets/sheet3.xml,xl/worksheets/sheet3.xml,728967935,347265043,282085467,0.38696553504784814,38.696553504784816,,,,,,
sheet_or_workbook,Empty Rows,EmptyRowsWithoutVisibleStyleOrHeight,relative_ratio,Waits et al Data_13ecc934ccbc.xlsx,Waits et al Data_13ecc934ccbc.xlsx,xl/worksheets/sheet3.xml,xl/worksheets/sheet3.xml,1257225,2109,1255116,0.9983224959732745,99.83224959732745,,,,,,
