File,Sheet / Workbook,Total Cell Count,Empty Cells Count,Whitespace Cells Count,Total Row Count,Rows Outside of Value Range Count,Total Column Count,Removed Columns Count,Original Size,Cleaned Size,Empty Cell Size,Whitespace Cell Size,Rows Outside of Value Range Size,Removed Columns Size,Reduction Ratio,Empty Cell Reduction Ratio,Whitespace Cell Reduction Ratio,Rows Outside of Value Range Reduction Ratio,Removed Columns Reduction Ratio,Removed Print Areas,Removed Print Titles
01011970_Auszug_GV.xlsx,Workbook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01011970_Auszug_GV.xlsx,Erläuterungen,0,0,0,0,0,0,0,742,742,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
01011970_Auszug_GV.xlsx,Gemeindeverbandsdaten,11868,909,0,989,0,12,2,488551,469950,18528,0,0,73,0.03807381419749422,0.037924392745076765,0.0,0.0,0.00014942145241745488,0,0
01011970_Auszug_GV.xlsx,Gemeindedaten,304694,40594,0,23439,1,13,0,12314633,11411592,902990,0,51,0,0.0733307277610303,0.07332658634650338,0.0,4.141414526929061e-06,0.0,0,0
01011970_Auszug_GV.xlsx,Inhalt,64,36,0,43,0,6,1,7388,6940,448,0,0,0,0.06063887384948565,0.06063887384948565,0.0,0.0,0.0,0,0
01011975_Auszug_GV.xlsx,Workbook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01011975_Auszug_GV.xlsx,Erläuterungen,0,0,0,0,0,0,0,742,742,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
01011975_Auszug_GV.xlsx,Gemeindeverbandsdaten,5501,546,0,546,0,13,3,245272,234051,11079,0,0,142,0.045749209041390786,0.045170259956293424,0.0,0.0,0.0005789490850973613,0,0
01011975_Auszug_GV.xlsx,Gemeindedaten,110920,1978,0,11421,0,11,0,4872401,4820628,51773,0,0,0,0.010625767460436857,0.010625767460436857,0.0,0.0,0.0,0,0
01011975_Auszug_GV.xlsx,Inhalt,65,36,0,43,0,6,1,7452,7004,448,0,0,0,0.06011808910359635,0.06011808910359635,0.0,0.0,0.0,0,0
02-bundeslaender.xlsx,Workbook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02-bundeslaender.xlsx,Bundesländer_mit_Hauptstädten,364,113,0,56,0,6,2,16943,14814,2058,0,0,71,0.1256566133506463,0.12146609219146551,0.0,0.0,0.004190521159180782,0,0
02-bundeslaender.xlsx,Deckblatt,105,87,0,43,1,6,1,6704,5133,1523,0,48,0,0.2343377088305489,0.22717780429594273,0.0,0.007159904534606206,0.0,0,0
02_BundeslaenderVorjahr.xlsx,Workbook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02_BundeslaenderVorjahr.xlsx,Bundesländer_mit_Hauptstädten,364,113,0,56,0,6,2,16940,14811,2058,0,0,71,0.1256788665879575,0.12148760330578512,0.0,0.0,0.004191263282172373,0,0
