file,sheet,python_original_bytes,python_cleaned_bytes,python_reduction_bytes,input_file,sheet_file,long_original_bytes,long_cleaned_bytes,long_cause_removed_bytes,long_cause_added_bytes,long_reduction_bytes,_merge,reduction_delta_bytes,analyzer_extra_reduction_bytes,rust_extra_reduction_bytes,abs_reduction_delta_bytes,original_delta_bytes,cleaned_delta_bytes,same_reduction_bytes
umsatzindex-veraenderungsrate.xlsx,um sb veraend vm,9129863,6422959,2706904,R:\excel-shrink-paper\scripts\scrape_destatis_xlsx_files\downloaded\umsatzindex-veraenderungsrate.xlsx,xl/worksheets/sheet1.xml,9129881,8563163,566718,0,566718,both,-2140186,2140186,-2140186,2140186,18,2140204,False
31122017_Auszug_GV.xlsx,Onlineprodukt_Gemeinden_311217,14206757,12675365,1531392,R:\excel-shrink-paper\scripts\scrape_destatis_xlsx_files\downloaded\31122017_Auszug_GV.xlsx,xl/worksheets/sheet2.xml,14206776,14043642,163153,0,163134,both,-1368258,1368258,-1368258,1368258,19,1368277,False
auftragseingangsindex-wert.xlsx,AE VOLUMENINDEX SAISONBER X12 ,4715013,3618398,1096615,R:\excel-shrink-paper\scripts\scrape_destatis_xlsx_files\downloaded\auftragseingangsindex-wert.xlsx,xl/worksheets/sheet1.xml,4715031,4714993,38,0,38,both,-1096577,1096577,-1096577,1096577,18,1096595,False
auftragseingangsindex-veraenderungsrate.xlsx,ae_sb veränd. in % zum vz,4578685,3532993,1045692,R:\excel-shrink-paper\scripts\scrape_destatis_xlsx_files\downloaded\auftragseingangsindex-veraenderungsrate.xlsx,xl/worksheets/sheet1.xml,4578703,4578647,56,0,56,both,-1045636,1045636,-1045636,1045636,18,1045654,False
20110509_Auszug_GV.xlsx,Gemeindedaten,9196101,8150121,1045980,R:\excel-shrink-paper\scripts\scrape_destatis_xlsx_files\downloaded\20110509_Auszug_GV.xlsx,xl/worksheets/sheet2.xml,9196120,8965694,230421,0,230426,both,-815554,815554,-815554,815554,19,815573,False
eigentums-pachtverhaeltnisse-2030216209005.xlsx,0405,1931800,1044015,887785,R:\excel-shrink-paper\scripts\scrape_destatis_xlsx_files\downloaded\eigentums-pachtverhaeltnisse-2030216209005.xlsx,xl/worksheets/sheet8.xml,1931818,1754358,177460,0,177460,both,-710325,710325,-710325,710325,18,710343,False
eigentums-pachtverhaeltnisse-2030216209005.xlsx,0403,1921096,1042861,878235,R:\excel-shrink-paper\scripts\scrape_destatis_xlsx_files\downloaded\eigentums-pachtverhaeltnisse-2030216209005.xlsx,xl/worksheets/sheet6.xml,1921114,1749447,171667,0,171667,both,-706568,706568,-706568,706568,18,706586,False
31122013_Auszug_GV.xlsx,Gemeindedaten,13996654,12143513,1853141,R:\excel-shrink-paper\scripts\scrape_destatis_xlsx_files\downloaded\31122013_Auszug_GV.xlsx,xl/worksheets/sheet2.xml,13996673,12804846,1363251,0,1191827,both,-661314,661314,-661314,661314,19,661333,False
31122014_Auszug_GV.xlsx,Onlineprodukt_Gemeinden_311214,13996747,12694270,1302477,R:\excel-shrink-paper\scripts\scrape_destatis_xlsx_files\downloaded\31122014_Auszug_GV.xlsx,xl/worksheets/sheet2.xml,13996767,13354920,641847,0,641847,both,-660630,660630,-660630,660630,20,660650,False
melde-warennummern-3200220199015.xlsx,GP2019 WA2019,4107725,3676330,431395,R:\excel-shrink-paper\scripts\scrape_destatis_xlsx_files\downloaded\melde-warennummern-3200220199015.xlsx,xl/worksheets/sheet3.xml,4107743,4107675,68,0,68,both,-431327,431327,-431327,431327,18,431345,False
31122008_Auszug_GV.xlsx,Gemeindedaten,9354714,8829167,525547,R:\excel-shrink-paper\scripts\scrape_destatis_xlsx_files\downloaded\31122008_Auszug_GV.xlsx,xl/worksheets/sheet2.xml,9354733,9232122,122611,0,122611,both,-402936,402936,-402936,402936,19,402955,False
