scope,category,category_causes,metric,input_file,file,sheet_file,sheet_or_workbook,original_size_bytes,cleaned_size_bytes,reduction_bytes,reduction_ratio,reduction_percent,sheet_or_workbook_count,mean_sheet_original_size,mean_sheet_cleaned_size,mean_sheet_reduction_bytes,mean_sheet_reduction_ratio,mean_sheet_reduction_percent
sheet_or_workbook,Overall Reduction,,absolute_bytes,V:\excel-shrink-paper\scripts\scrape_destatis_xlsx_files\downloaded\statistischer-bericht-rechnungsergebnis-kernhaushalt-gemeinden-2140331217005.xlsx,statistischer-bericht-rechnungsergebnis-kernhaushalt-gemeinden-2140331217005.xlsx,xl/worksheets/sheet84.xml,xl/worksheets/sheet84.xml,190653314,378498,190274816,0.998014731598109,99.80147315981091,,,,,,
sheet_or_workbook,Overall Reduction,,relative_ratio,V:\excel-shrink-paper\scripts\scrape_destatis_xlsx_files\downloaded\verkehrsunfaelle-zeitreihen-xlsx-5462403.xlsx,verkehrsunfaelle-zeitreihen-xlsx-5462403.xlsx,xl/worksheets/sheet176.xml,xl/worksheets/sheet176.xml,52367813,1697,52366116,0.9999675945986135,99.99675945986135,,,,,,
excel_file,Overall Reduction,,absolute_bytes,V:\excel-shrink-paper\scripts\scrape_destatis_xlsx_files\downloaded\statistischer-bericht-rechnungsergebnis-kernhaushalt-gemeinden-2140331217005.xlsx,statistischer-bericht-rechnungsergebnis-kernhaushalt-gemeinden-2140331217005.xlsx,,,953538837,19492368,934046469,0.9795578667132988,97.95578667132988,108,8829063.305555556,180484.88888888888,8648578.416666666,0.5793347343870555,57.933473438705555
excel_file,Overall Reduction,,relative_ratio,V:\excel-shrink-paper\scripts\scrape_destatis_xlsx_files\downloaded\statistischer-bericht-stromsteuerstatistik-2140970237005.xlsx,statistischer-bericht-stromsteuerstatistik-2140970237005.xlsx,,,10352926,105376,10247550,0.9898216214430587,98.98216214430587,20,517646.3,5268.8,512377.5,0.7701862787011831,77.01862787011831
sheet_or_workbook,Empty Cells,PreprocessEmptySelfClosingCells;EmptyCellsWithoutContent;EmptyHiddenCells,absolute_bytes,V:\excel-shrink-paper\scripts\scrape_destatis_xlsx_files\downloaded\statistischer-bericht-rechnungsergebnis-kernhaushalt-gemeinden-2140331217005.xlsx,statistischer-bericht-rechnungsergebnis-kernhaushalt-gemeinden-2140331217005.xlsx,xl/worksheets/sheet84.xml,xl/worksheets/sheet84.xml,190653314,378498,125394305,0.6577084991032467,65.77084991032467,,,,,,
sheet_or_workbook,Empty Cells,PreprocessEmptySelfClosingCells;EmptyCellsWithoutContent;EmptyHiddenCells,relative_ratio,V:\excel-shrink-paper\scripts\scrape_destatis_xlsx_files\downloaded\statistischer-bericht-mikrozensus-haushalte-familien-2010300217005.xlsx,statistischer-bericht-mikrozensus-haushalte-familien-2010300217005.xlsx,xl/worksheets/sheet60.xml,xl/worksheets/sheet60.xml,18804969,16157,18788233,0.99911002246268,99.911002246268,,,,,,
excel_file,Empty Cells,PreprocessEmptySelfClosingCells;EmptyCellsWithoutContent;EmptyHiddenCells,absolute_bytes,V:\excel-shrink-paper\scripts\scrape_destatis_xlsx_files\downloaded\statistischer-bericht-rechnungsergebnis-kernhaushalt-gemeinden-2140331217005.xlsx,statistischer-bericht-rechnungsergebnis-kernhaushalt-gemeinden-2140331217005.xlsx,,,953538837,19492368,442207163,0.46375369921089016,46.37536992108902,108,8829063.305555556,180484.88888888888,8648578.416666666,0.5793347343870555,57.933473438705555
excel_file,Empty Cells,PreprocessEmptySelfClosingCells;EmptyCellsWithoutContent;EmptyHiddenCells,relative_ratio,V:\excel-shrink-paper\scripts\scrape_destatis_xlsx_files\downloaded\statistischer-bericht-stromsteuerstatistik-2140970237005.xlsx,statistischer-bericht-stromsteuerstatistik-2140970237005.xlsx,,,10352926,105376,10236517,0.9887559323808555,98.87559323808554,20,517646.3,5268.8,512377.5,0.7701862787011831,77.01862787011831
sheet_or_workbook,Empty Rows,EmptyRowsWithoutVisibleStyleOrHeight,absolute_bytes,V:\excel-shrink-paper\scripts\scrape_destatis_xlsx_files\downloaded\statistischer-bericht-rechnungsergebnis-kernhaushalt-gemeinden-2140331217005.xlsx,statistischer-bericht-rechnungsergebnis-kernhaushalt-gemeinden-2140331217005.xlsx,xl/worksheets/sheet91.xml,xl/worksheets/sheet91.xml,60955361,319061,60636300,0.9947656613829258,99.47656613829258,,,,,,
sheet_or_workbook,Empty Rows,EmptyRowsWithoutVisibleStyleOrHeight,relative_ratio,V:\excel-shrink-paper\scripts\scrape_destatis_xlsx_files\downloaded\operationen-prozeduren-5231401217015.xlsx,operationen-prozeduren-5231401217015.xlsx,xl/worksheets/sheet16.xml,xl/worksheets/sheet16.xml,14113236,45115,14054487,0.9958373118680932,99.58373118680932,,,,,,
excel_file,Empty Rows,EmptyRowsWithoutVisibleStyleOrHeight,absolute_bytes,V:\excel-shrink-paper\scripts\scrape_destatis_xlsx_files\downloaded\statistischer-bericht-rechnungsergebnis-kernhaushalt-gemeinden-2140331217005.xlsx,statistischer-bericht-rechnungsergebnis-kernhaushalt-gemeinden-2140331217005.xlsx,,,953538837,19492368,727813220,0.7632759062964103,76.32759062964102,108,8829063.305555556,180484.88888888888,8648578.416666666,0.5793347343870555,57.933473438705555
excel_file,Empty Rows,EmptyRowsWithoutVisibleStyleOrHeight,relative_ratio,V:\excel-shrink-paper\scripts\scrape_destatis_xlsx_files\downloaded\duengemittelversorgung-vierteljahr-2040820213225.xlsx,duengemittelversorgung-vierteljahr-2040820213225.xlsx,,,4964572,153687,4608875,0.9283529375744777,92.83529375744777,14,354612.28571428574,10977.642857142857,343634.64285714284,0.6191999608645748,61.91999608645749
sheet_or_workbook,Trailing Layout Rows,TrailingLayoutOnlyRows,absolute_bytes,V:\excel-shrink-paper\scripts\scrape_destatis_xlsx_files\downloaded\statistischer-bericht-rechnungsergebnis-kernhaushalt-gemeinden-2140331217005.xlsx,statistischer-bericht-rechnungsergebnis-kernhaushalt-gemeinden-2140331217005.xlsx,xl/worksheets/sheet84.xml,xl/worksheets/sheet84.xml,190653314,378498,59643446,0.31283718467123,31.283718467123002,,,,,,
sheet_or_workbook,Trailing Layout Rows,TrailingLayoutOnlyRows,relative_ratio,V:\excel-shrink-paper\scripts\scrape_destatis_xlsx_files\downloaded\wanderungen-2010120217005.xlsx,wanderungen-2010120217005.xlsx,xl/worksheets/sheet5.xml,xl/worksheets/sheet5.xml,58701230,42980,58652893,0.9991765589920347,99.91765589920347,,,,,,
excel_file,Trailing Layout Rows,TrailingLayoutOnlyRows,absolute_bytes,V:\excel-shrink-paper\scripts\scrape_destatis_xlsx_files\downloaded\verkehrsunfaelle-zeitreihen-xlsx-5462403.xlsx,verkehrsunfaelle-zeitreihen-xlsx-5462403.xlsx,,,774368143,7894852,479344321,0.6190134825833092,61.90134825833093,216,3585037.699074074,36550.24074074074,3548487.4583333335,0.46812407025915315,46.81240702591531
excel_file,Trailing Layout Rows,TrailingLayoutOnlyRows,relative_ratio,V:\excel-shrink-paper\scripts\scrape_destatis_xlsx_files\downloaded\wanderungen-2010120217005.xlsx,wanderungen-2010120217005.xlsx,,,243262773,3737954,172384305,0.7086341361405101,70.86341361405101,37,6574669.540540541,101025.78378378379,6473643.756756756,0.5214941166788207,52.14941166788207
sheet_or_workbook,Empty Row Attributes,EmptyRowAttributeCleanup,absolute_bytes,V:\excel-shrink-paper\scripts\scrape_destatis_xlsx_files\downloaded\verkehrsunfaelle-zeitreihen-xlsx-5462403.xlsx,verkehrsunfaelle-zeitreihen-xlsx-5462403.xlsx,xl/worksheets/sheet114.xml,xl/worksheets/sheet114.xml,53442319,24609,24115661,0.4512465299269667,45.12465299269667,,,,,,
sheet_or_workbook,Empty Row Attributes,EmptyRowAttributeCleanup,relative_ratio,V:\excel-shrink-paper\scripts\scrape_destatis_xlsx_files\downloaded\verkehrsunfaelle-zeitreihen-xlsx-5462403.xlsx,verkehrsunfaelle-zeitreihen-xlsx-5462403.xlsx,xl/worksheets/sheet193.xml,xl/worksheets/sheet193.xml,53441289,27206,24115316,0.45124877133858055,45.12487713385806,,,,,,
excel_file,Empty Row Attributes,EmptyRowAttributeCleanup,absolute_bytes,V:\excel-shrink-paper\scripts\scrape_destatis_xlsx_files\downloaded\verkehrsunfaelle-zeitreihen-xlsx-5462403.xlsx,verkehrsunfaelle-zeitreihen-xlsx-5462403.xlsx,,,774368143,7894852,264127152,0.3410873166563103,34.10873166563103,216,3585037.699074074,36550.24074074074,3548487.4583333335,0.46812407025915315,46.81240702591531
excel_file,Empty Row Attributes,EmptyRowAttributeCleanup,relative_ratio,V:\excel-shrink-paper\scripts\scrape_destatis_xlsx_files\downloaded\verkehrsunfaelle-zeitreihen-xlsx-5462403.xlsx,verkehrsunfaelle-zeitreihen-xlsx-5462403.xlsx,,,774368143,7894852,264127152,0.3410873166563103,34.10873166563103,216,3585037.699074074,36550.24074074074,3548487.4583333335,0.46812407025915315,46.81240702591531
sheet_or_workbook,Column Range Merge,ExtraneousColumnRangeMerge,absolute_bytes,V:\excel-shrink-paper\scripts\scrape_destatis_xlsx_files\downloaded\viehhaltung-2030213209005.xlsx,viehhaltung-2030213209005.xlsx,xl/worksheets/sheet17.xml,xl/worksheets/sheet17.xml,730890,436307,242682,0.3320362845298198,33.20362845298198,,,,,,
sheet_or_workbook,Column Range Merge,ExtraneousColumnRangeMerge,relative_ratio,V:\excel-shrink-paper\scripts\scrape_destatis_xlsx_files\downloaded\fallpauschalen-krankenhaus-2120640167005.xlsx,fallpauschalen-krankenhaus-2120640167005.xlsx,xl/worksheets/sheet3.xml,xl/worksheets/sheet3.xml,40749,3743,37108,0.9106481140641488,91.06481140641488,,,,,,
excel_file,Column Range Merge,ExtraneousColumnRangeMerge,absolute_bytes,V:\excel-shrink-paper\scripts\scrape_destatis_xlsx_files\downloaded\bodennutzung-2030212227005.xlsx,bodennutzung-2030212227005.xlsx,,,17958469,3894827,13497546,0.7515978115951867,75.15978115951867,169,106263.13017751479,23046.313609467456,83216.81656804733,0.7642835579036024,76.42835579036024
excel_file,Column Range Merge,ExtraneousColumnRangeMerge,relative_ratio,V:\excel-shrink-paper\scripts\scrape_destatis_xlsx_files\downloaded\wirtschaftsduenger-2030222209005.xlsx,wirtschaftsduenger-2030222209005.xlsx,,,9097896,1280406,7333579,0.8060741736331125,80.60741736331126,143,63621.65034965035,8953.888111888113,54667.76223776224,0.8277784565612005,82.77784565612005
sheet_or_workbook,Unreferenced Whitespace,UnreferencedWhitespaceCells,absolute_bytes,V:\excel-shrink-paper\scripts\scrape_destatis_xlsx_files\downloaded\maschinenlesbarer_haushaltsplan_bund_2019-2024.xlsx,maschinenlesbarer_haushaltsplan_bund_2019-2024.xlsx,xl/worksheets/sheet4.xml,xl/worksheets/sheet4.xml,56910538,36919875,19990663,0.35126469899124835,35.126469899124835,,,,,,
sheet_or_workbook,Unreferenced Whitespace,UnreferencedWhitespaceCells,relative_ratio,V:\excel-shrink-paper\scripts\scrape_destatis_xlsx_files\downloaded\krankenhausverzeichnis-3500100227005.xlsx,krankenhausverzeichnis-3500100227005.xlsx,xl/worksheets/sheet5.xml,xl/worksheets/sheet5.xml,19710986,3176443,16523796,0.8383038778476125,83.83038778476126,,,,,,
excel_file,Unreferenced Whitespace,UnreferencedWhitespaceCells,absolute_bytes,V:\excel-shrink-paper\scripts\scrape_destatis_xlsx_files\downloaded\maschinenlesbarer_haushaltsplan_bund_2019-2024.xlsx,maschinenlesbarer_haushaltsplan_bund_2019-2024.xlsx,,,56937991,36936687,19990663,0.35109533457195563,35.10953345719556,5,11387598.2,7387337.4,4000260.8,0.29110947525770764,29.110947525770765
excel_file,Unreferenced Whitespace,UnreferencedWhitespaceCells,relative_ratio,V:\excel-shrink-paper\scripts\scrape_destatis_xlsx_files\downloaded\krankenhausverzeichnis-3500100227005.xlsx,krankenhausverzeichnis-3500100227005.xlsx,,,22562323,4082726,18458920,0.8181302962465345,81.81302962465345,12,1880193.5833333333,340227.1666666667,1539966.4166666667,0.18954922585168166,18.954922585168166
sheet_or_workbook,Unreferenced Hidden Content,UnreferencedHiddenContentCells,absolute_bytes,V:\excel-shrink-paper\scripts\scrape_destatis_xlsx_files\downloaded\wanderungen-2010120217005.xlsx,wanderungen-2010120217005.xlsx,xl/worksheets/sheet31.xml,xl/worksheets/sheet31.xml,11725919,29932,11331663,0.9663773901218318,96.63773901218318,,,,,,
sheet_or_workbook,Unreferenced Hidden Content,UnreferencedHiddenContentCells,relative_ratio,V:\excel-shrink-paper\scripts\scrape_destatis_xlsx_files\downloaded\wanderungen-2010120217005.xlsx,wanderungen-2010120217005.xlsx,xl/worksheets/sheet31.xml,xl/worksheets/sheet31.xml,11725919,29932,11331663,0.9663773901218318,96.63773901218318,,,,,,
excel_file,Unreferenced Hidden Content,UnreferencedHiddenContentCells,absolute_bytes,V:\excel-shrink-paper\scripts\scrape_destatis_xlsx_files\downloaded\wanderungen-2010120217005.xlsx,wanderungen-2010120217005.xlsx,,,243262773,3737954,12937600,0.05318364104975487,5.318364104975487,37,6574669.540540541,101025.78378378379,6473643.756756756,0.5214941166788207,52.14941166788207
excel_file,Unreferenced Hidden Content,UnreferencedHiddenContentCells,relative_ratio,V:\excel-shrink-paper\scripts\scrape_destatis_xlsx_files\downloaded\inlandsprodukt-vorlaeufig-xlsx-2180140.xlsx,inlandsprodukt-vorlaeufig-xlsx-2180140.xlsx,,,27056201,10638808,9500184,0.3511277876742563,35.11277876742563,267,101334.08614232209,39845.722846441946,61488.363295880146,0.4471348312932001,44.71348312932001
