scope,category,category_causes,metric,input_file,file,sheet_file,sheet_or_workbook,original_size_bytes,cleaned_size_bytes,reduction_bytes,reduction_ratio,reduction_percent,sheet_or_workbook_count,mean_sheet_original_size,mean_sheet_cleaned_size,mean_sheet_reduction_bytes,mean_sheet_reduction_ratio,mean_sheet_reduction_percent
sheet_or_workbook,Overall Reduction,,absolute_bytes,R:\excel-shrink-paper\scripts\scrape_destatis_xlsx_files\downloaded\statistischer-bericht-rechnungsergebnis-kernhaushalt-gemeinden-2140331217005.xlsx,statistischer-bericht-rechnungsergebnis-kernhaushalt-gemeinden-2140331217005.xlsx,xl/worksheets/sheet84.xml,xl/worksheets/sheet84.xml,190653314,378498,190274816,0.998014731598109,99.80147315981091,,,,,,
sheet_or_workbook,Overall Reduction,,relative_ratio,R:\excel-shrink-paper\scripts\scrape_destatis_xlsx_files\downloaded\verkehrsunfaelle-zeitreihen-xlsx-5462403.xlsx,verkehrsunfaelle-zeitreihen-xlsx-5462403.xlsx,xl/worksheets/sheet176.xml,xl/worksheets/sheet176.xml,52367813,1697,52366116,0.9999675945986135,99.99675945986135,,,,,,
excel_file,Overall Reduction,,absolute_bytes,R:\excel-shrink-paper\scripts\scrape_destatis_xlsx_files\downloaded\statistischer-bericht-rechnungsergebnis-kernhaushalt-gemeinden-2140331217005.xlsx,statistischer-bericht-rechnungsergebnis-kernhaushalt-gemeinden-2140331217005.xlsx,,,953538837,19492007,934046830,0.9795582453030175,97.95582453030175,108,8829063.305555556,180481.5462962963,8648581.75925926,0.579137194984919,57.9137194984919
excel_file,Overall Reduction,,relative_ratio,R:\excel-shrink-paper\scripts\scrape_destatis_xlsx_files\downloaded\wanderungen-2010120217005.xlsx,wanderungen-2010120217005.xlsx,,,243262773,1730641,241532132,0.9928857137544839,99.28857137544838,37,6574669.540540541,46774.08108108108,6527895.459459459,0.5566322539561324,55.66322539561324
sheet_or_workbook,Empty Cells,PreprocessEmptySelfClosingCells;EmptyCellsWithoutContent;EmptyHiddenCells,absolute_bytes,R:\excel-shrink-paper\scripts\scrape_destatis_xlsx_files\downloaded\statistischer-bericht-rechnungsergebnis-kernhaushalt-gemeinden-2140331217005.xlsx,statistischer-bericht-rechnungsergebnis-kernhaushalt-gemeinden-2140331217005.xlsx,xl/worksheets/sheet84.xml,xl/worksheets/sheet84.xml,190653314,378498,125394305,0.6577084991032467,65.77084991032467,,,,,,
sheet_or_workbook,Empty Cells,PreprocessEmptySelfClosingCells;EmptyCellsWithoutContent;EmptyHiddenCells,relative_ratio,R:\excel-shrink-paper\scripts\scrape_destatis_xlsx_files\downloaded\statistischer-bericht-mikrozensus-haushalte-familien-2010300217005.xlsx,statistischer-bericht-mikrozensus-haushalte-familien-2010300217005.xlsx,xl/worksheets/sheet60.xml,xl/worksheets/sheet60.xml,18804969,16141,18788233,0.99911002246268,99.911002246268,,,,,,
excel_file,Empty Cells,PreprocessEmptySelfClosingCells;EmptyCellsWithoutContent;EmptyHiddenCells,absolute_bytes,R:\excel-shrink-paper\scripts\scrape_destatis_xlsx_files\downloaded\statistischer-bericht-rechnungsergebnis-kernhaushalt-gemeinden-2140331217005.xlsx,statistischer-bericht-rechnungsergebnis-kernhaushalt-gemeinden-2140331217005.xlsx,,,953538837,19492007,442207073,0.4637536048256417,46.37536048256417,108,8829063.305555556,180481.5462962963,8648581.75925926,0.579137194984919,57.9137194984919
excel_file,Empty Cells,PreprocessEmptySelfClosingCells;EmptyCellsWithoutContent;EmptyHiddenCells,relative_ratio,R:\excel-shrink-paper\scripts\scrape_destatis_xlsx_files\downloaded\statistischer-bericht-stromsteuerstatistik-2140970237005.xlsx,statistischer-bericht-stromsteuerstatistik-2140970237005.xlsx,,,10352926,105253,10236445,0.9887489778252061,98.8748977825206,20,517646.3,5262.65,512383.65,0.7690881059566821,76.90881059566821
sheet_or_workbook,Empty Rows,EmptyRowsWithoutVisibleStyleOrHeight,absolute_bytes,R:\excel-shrink-paper\scripts\scrape_destatis_xlsx_files\downloaded\statistischer-bericht-diagnosedaten-5231301227015.xlsx,statistischer-bericht-diagnosedaten-5231301227015.xlsx,xl/worksheets/sheet24.xml,xl/worksheets/sheet24.xml,56716700,16579668,40137032,0.7076757286654548,70.76757286654548,,,,,,
sheet_or_workbook,Empty Rows,EmptyRowsWithoutVisibleStyleOrHeight,relative_ratio,R:\excel-shrink-paper\scripts\scrape_destatis_xlsx_files\downloaded\statistischer-bericht-kostenstruktur-med-bereich-2020161227005.xlsx,statistischer-bericht-kostenstruktur-med-bereich-2020161227005.xlsx,xl/worksheets/sheet15.xml,xl/worksheets/sheet15.xml,30630528,19204,30432947,0.9935495398577524,99.35495398577524,,,,,,
