Group,Total Rows,Threshold,Row Count,Row Share (%)
worksheets_only,33058,>= 50.00%,7260,21.96140117369472
worksheets_only,33058,>= 60.00%,6303,19.066489200798596
worksheets_only,33058,>= 70.00%,5260,15.911428398572205
worksheets_only,33058,>= 80.00%,4184,12.656543045556296
worksheets_only,33058,>= 90.00%,2810,8.500211749047129
worksheets_only,33058,>= 95.00%,1825,5.520600157299292
worksheets_only,33058,>= 99.00%,210,0.6352471413878638
worksheets_only,33058,>= 99.90%,16,0.048399782200980096
worksheets_only,33058,>= 99.99%,1,0.003024986387561256
non_worksheets_only,1182,>= 50.00%,0,0.0
non_worksheets_only,1182,>= 60.00%,0,0.0
non_worksheets_only,1182,>= 70.00%,0,0.0
non_worksheets_only,1182,>= 80.00%,0,0.0
non_worksheets_only,1182,>= 90.00%,0,0.0
non_worksheets_only,1182,>= 95.00%,0,0.0
non_worksheets_only,1182,>= 99.00%,0,0.0
non_worksheets_only,1182,>= 99.90%,0,0.0
non_worksheets_only,1182,>= 99.99%,0,0.0
all_rows,34240,>= 50.00%,7260,21.20327102803738
all_rows,34240,>= 60.00%,6303,18.408294392523363
all_rows,34240,>= 70.00%,5260,15.362149532710282
all_rows,34240,>= 80.00%,4184,12.219626168224298
all_rows,34240,>= 90.00%,2810,8.20677570093458
all_rows,34240,>= 95.00%,1825,5.330023364485982
all_rows,34240,>= 99.00%,210,0.6133177570093458
all_rows,34240,>= 99.90%,16,0.04672897196261683
all_rows,34240,>= 99.99%,1,0.0029205607476635517
