File,Library,Original Open Time (s),Original Save Time (s),Original Peak Memory,Original Status,Original Failure Time (s),Shrinked Open Time (s),Shrinked Save Time (s),Shrinked Peak Memory,Shrinked Status,Shrinked Failure Time (s)
QT_RR data_dobutamine challenge test_Hazari_Dec 2015.xlsx,openpyxl(default),455.2664562,142.90415689999998,13421879296,ok,,10.225088599999935,12.917259699999931,728080384,ok,
QT_RR data_dobutamine challenge test_Hazari_Dec 2015.xlsx,pandas,427.87576179999996,20.21507040000006,707321856,ok,,7.807544199999938,20.21390969999993,706031616,ok,
QT_RR data_dobutamine challenge test_Hazari_Dec 2015.xlsx,Microsoft Excel,124.3531547,36.24894329999984,943370240,ok,,6.591598900000008,2.4076260999997885,519938048,ok,
QT_RR data_dobutamine challenge test_Hazari_Dec 2015.xlsx,R openxlsx,105.65,124.46,2932850688,ok,,3.72,7.65,708419584,ok,
QT_RR data_dobutamine challenge test_Hazari_Dec 2015.xlsx,R readxl+writexl,20.3,2.93,2014474240,ok,,3.24,2.86,683261952,ok,
statistischer-bericht-kernhaushalt-gemeinden.xlsx,openpyxl(default),329.4514001999996,309.53305439999986,8796229632,ok,,7.632376399999885,14.763053899999704,656060416,ok,
statistischer-bericht-kernhaushalt-gemeinden.xlsx,pandas,339.5250041999998,16.64861289999999,1074855936,ok,,5.453746099999989,16.65605480000022,595480576,ok,
statistischer-bericht-kernhaushalt-gemeinden.xlsx,Microsoft Excel,62.47171909999997,25.738754399999834,764608512,ok,,7.14195940000036,2.796976099999938,517967872,ok,
statistischer-bericht-kernhaushalt-gemeinden.xlsx,R openxlsx,76.42,94.45,2669449216,ok,,17.25,21.53,767635456,ok,
statistischer-bericht-kernhaushalt-gemeinden.xlsx,R readxl+writexl,41.67,3.15,2676076544,ok,,32.47,3.44,700002304,ok,
wanderungen-2010120217005.xlsx,pandas,,,,failed_timeout,690.1,0.2777009999990696,0.5146695000003092,,ok,
