File,Library,Original Open Time (s),Original Save Time (s),Original Peak Memory,Shrinked Open Time (s),Shrinked Save Time (s),Shrinked Peak Memory
QT_RR data_dobutamine challenge test_Hazari_Dec 2015.xlsx,openpyxl(default),414.5885675000027,157.42214619996957,13413191680,10.340946300013456,10.687669700011611,724918272
QT_RR data_dobutamine challenge test_Hazari_Dec 2015.xlsx,pandas,380.09933890000684,18.55792599997949,703827968,6.83877480000956,18.230599600006826,705110016
QT_RR data_dobutamine challenge test_Hazari_Dec 2015.xlsx,Microsoft Excel,101.76468510000268,37.56415799999377,933109760,7.24935480003478,2.0610074999858625,511442944
QT_RR data_dobutamine challenge test_Hazari_Dec 2015.xlsx,R openxlsx,101.07,123.6,2929889280,3.92,6.74,708026368
QT_RR data_dobutamine challenge test_Hazari_Dec 2015.xlsx,R readxl+writexl,21.46,2.92,2015191040,3.23,2.89,680357888
statistischer-bericht-kernhaushalt-gemeinden.xlsx,openpyxl(default),303.0406612000079,299.7603046000004,8802770944,8.939371399988886,16.32129300001543,652591104
statistischer-bericht-kernhaushalt-gemeinden.xlsx,pandas,367.8084336000029,18.85889049997786,1072877568,6.3729846000205725,18.861378000001423,591724544
statistischer-bericht-kernhaushalt-gemeinden.xlsx,Microsoft Excel,67.12716430000728,23.125870799995027,747806720,7.605256400012877,3.083097100025043,509882368
statistischer-bericht-kernhaushalt-gemeinden.xlsx,R openxlsx,68.68,84.42,2730311680,15.41,23.09,753950720
statistischer-bericht-kernhaushalt-gemeinden.xlsx,R readxl+writexl,42.97,3.2,2672799744,30.97,3.2,698990592
