URL,File Name
https://www.destatis.de/DE/Themen/Wirtschaft/Volkswirtschaftliche-Gesamtrechnungen-Inlandsprodukt/Publikationen/Downloads-Inlandsprodukt/inlandsprodukt-endgueltig-xlsx-2180140.xlsx?__blob=publicationFile,inlandsprodukt-endgueltig-xlsx-2180140.xlsx
https://www.destatis.de/DE/Service/Statistik-Campus/ESC/_docs/beispiel_mikrodatensatz.xlsx?__blob=publicationFile,beispiel_mikrodatensatz.xlsx
https://www.destatis.de/DE/Themen/Wirtschaft/Aussenhandel/Publikationen/Downloads-Aussenhandel/statistischer-bericht-aussenhandel-2070100241075.xlsx?__blob=publicationFile,statistischer-bericht-aussenhandel-2070100241075.xlsx
https://www.destatis.de/DE/Themen/Wirtschaft/Preise/Verbraucherpreisindex/Publikationen/Downloads-Verbraucherpreise/statistischer-bericht-verbraucherpreisindex-lange-reihen-5611103.xlsx?__blob=publicationFile,statistischer-bericht-verbraucherpreisindex-lange-reihen-5611103.xlsx
https://www.destatis.de/DE/Themen/Wirtschaft/Volkswirtschaftliche-Gesamtrechnungen-Inlandsprodukt/Tabellen/inlandsprodukt-einnahmen-ausgaben1991-xls.xlsx?__blob=publicationFile,inlandsprodukt-einnahmen-ausgaben1991-xls.xlsx
https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Bevoelkerung/Sterbefaelle-Lebenserwartung/Publikationen/Downloads-Sterbefaelle/statistischer-bericht-sterbefaelle-5126105237005.xlsx?__blob=publicationFile,statistischer-bericht-sterbefaelle-5126105237005.xlsx
https://www.destatis.de/DE/Themen/Wirtschaft/Aussenhandel/Tabellen/ukraine-xlsx.xlsx?__blob=publicationFile,ukraine-xlsx.xlsx
https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Bevoelkerung/Geburten/Publikationen/Downloads-Geburten/statistischer-bericht-geburten-5126104237005.xlsx?__blob=publicationFile,statistischer-bericht-geburten-5126104237005.xlsx
https://www.destatis.de/DE/Themen/Wirtschaft/Aussenhandel/Tabellen/russische-foederation-xlsx.xlsx?__blob=publicationFile,russische-foederation-xlsx.xlsx
https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Bildung-Forschung-Kultur/Hochschulen/Publikationen/Downloads-Hochschulen/statistischer-bericht-studierende-ausland-5217101237005.xlsx?__blob=publicationFile,statistischer-bericht-studierende-ausland-5217101237005.xlsx
https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Vorsorgeeinrichtungen-Rehabilitationseinrichtungen/Publikationen/Downloads-Vorsorge-oder-Reha/statistischer-bericht-grunddaten-vorsorge-reha-2120612227005.xlsx?__blob=publicationFile,statistischer-bericht-grunddaten-vorsorge-reha-2120612227005.xlsx
https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Bevoelkerung/Eheschliessungen-Ehescheidungen-Lebenspartnerschaften/Publikationen/Downloads-Eheschliessungen/statistischer-bericht-beschluesse-ehesachen-5126301237005.xlsx?__blob=publicationFile,statistischer-bericht-beschluesse-ehesachen-5126301237005.xlsx
https://www.destatis.de/DE/Themen/Branchen-Unternehmen/Landwirtschaft-Forstwirtschaft-Fischerei/Landwirtschaftliche-Betriebe/Publikationen/Downloads-Landwirtschaftliche-Betriebe/statistischer-bericht-rechtsform-erwerbscharakter-2030215239005.xlsx?__blob=publicationFile,statistischer-bericht-rechtsform-erwerbscharakter-2030215239005.xlsx
https://www.destatis.de/DE/Themen/Wirtschaft/Aussenhandel/Publikationen/Downloads-Aussenhandel/statistischer-bericht-aussenhandel-2070100241065.xlsx?__blob=publicationFile,statistischer-bericht-aussenhandel-2070100241065.xlsx
https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Bevoelkerung/Wanderungen/Publikationen/Downloads-Wanderungen/statistischer-bericht-wanderungen-2010120227005.xlsx?__blob=publicationFile,statistischer-bericht-wanderungen-2010120227005.xlsx
https://www.destatis.de/DE/Themen/Wirtschaft/Aussenhandel/Publikationen/Downloads-Aussenhandel/statistischer-bericht-aussenhandel-2070100241015.xlsx?__blob=publicationFile,statistischer-bericht-aussenhandel-2070100241015.xlsx
https://www.destatis.de/DE/Themen/Branchen-Unternehmen/Landwirtschaft-Forstwirtschaft-Fischerei/Landwirtschaftliche-Betriebe/Publikationen/Downloads-Landwirtschaftliche-Betriebe/statistischer-bericht-maschinen-und-lagerung-5411207239005.xlsx?__blob=publicationFile,statistischer-bericht-maschinen-und-lagerung-5411207239005.xlsx
https://www.destatis.de/DE/Themen/Branchen-Unternehmen/Landwirtschaft-Forstwirtschaft-Fischerei/Wein/Publikationen/Downloads-Wein/statistischer-bericht-betriebe-weinbau-2030223239005.xlsx?__blob=publicationFile,statistischer-bericht-betriebe-weinbau-2030223239005.xlsx
https://www.destatis.de/DE/Themen/Wirtschaft/Preise/Verbraucherpreisindex/Publikationen/Downloads-Verbraucherpreise/statistischer-bericht-verbraucherpreisindex-lange-reihen-5611103241035.xlsx?__blob=publicationFile,statistischer-bericht-verbraucherpreisindex-lange-reihen-5611103241035.xlsx
https://www.destatis.de/DE/Themen/Wirtschaft/Preise/Verbraucherpreisindex/Publikationen/Downloads-Verbraucherpreise/statistischer-bericht-verbraucherpreisindex-lange-reihen-5611103241045.xlsx?__blob=publicationFile,statistischer-bericht-verbraucherpreisindex-lange-reihen-5611103241045.xlsx
https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Bevoelkerung/Wanderungen/Publikationen/Downloads-Wanderungen/statistischer-bericht-wanderungen-2010120237005.xlsx?__blob=publicationFile,statistischer-bericht-wanderungen-2010120237005.xlsx
https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Umwelt/UGR/ueberblick/Publikationen/Downloads/maschinenlesbarer_haushaltsplan_bund_2019-2024.xlsx?__blob=publicationFile,maschinenlesbarer_haushaltsplan_bund_2019-2024.xlsx
https://www.destatis.de/DE/Themen/Wirtschaft/Volkswirtschaftliche-Gesamtrechnungen-Inlandsprodukt/Publikationen/Downloads-Inlandsprodukt/inlandsprodukt-vorlaeufig-xlsx-2180140.xlsx?__blob=publicationFile,inlandsprodukt-vorlaeufig-xlsx-2180140.xlsx
https://www.destatis.de/DE/Themen/Wirtschaft/Volkswirtschaftliche-Gesamtrechnungen-Inlandsprodukt/Publikationen/Downloads-Inlandsprodukt/statistischer-bericht-2180120243225.xlsx?__blob=publicationFile,statistischer-bericht-2180120243225.xlsx
https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Bevoelkerung/Sterbefaelle-Lebenserwartung/Publikationen/Downloads-Sterbefaelle/statistischer-bericht-sterbefaelle-tage-wochen-monate-endg-5126108.xlsx?__blob=publicationFile,statistischer-bericht-sterbefaelle-tage-wochen-monate-endg-5126108.xlsx
https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Todesursachen/Publikationen/Downloads-Todesursachen/statistischer-bericht-todesursachen-2120400237005.xlsx?__blob=publicationFile,statistischer-bericht-todesursachen-2120400237005.xlsx
https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Umwelt/UGR/ueberblick/Publikationen/Downloads/statistischer-bericht-ugr-ueberblick-5850026249005.xlsx?__blob=publicationFile,statistischer-bericht-ugr-ueberblick-5850026249005.xlsx
