timestamp_utc,status,note,http_status,dataset_title,dataset_name,dataset_id,resource_name,resource_id,resource_format,mimetype,url,original_filename,final_filename,relative_path,bytes,sha256
2026-01-24T13:57:40Z,failed,HTTP 403,403,Harmonized Tariff Schedule of the United States (2026),harmonized-tariff-schedule-of-the-united-states-2024,2d0e242c-88f0-43de-b6c5-da9b9d88864f,2026 HTS Revision 1 (Excel),664c73d7-0865-4cee-9f84-e1366d0b8c1b,XLS,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,https://www.usitc.gov/sites/default/files/tata/hts/hts_2026_revision_1_xls.xlsx,hts_2026_revision_1_xls.xlsx,,,,
2026-01-24T13:57:41Z,downloaded,ok,200,Harmonized Tariff Schedule of the United States (2026),harmonized-tariff-schedule-of-the-united-states-2024,2d0e242c-88f0-43de-b6c5-da9b9d88864f,2026 HTS Basic Edition (Excel),001e11c9-5a1c-47f4-b4a5-a2e4db7a1463,XLS,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,https://www.usitc.gov/sites/default/files/tata/hts/hts_2026_basic_edition_xls.xlsx,hts_2026_basic_edition_xls.xlsx,hts_2026_basic_edition_xls.xlsx,downloaded\hts_2026_basic_edition_xls.xlsx,1611528,a709880c1f2a9833affda30b7e7ee6904453bab6bb0a5d5105b970dc2757ffc1
2026-01-24T13:57:47Z,downloaded,ok,200,Inventory of Owned and Leased Properties (IOLP),inventory-of-owned-and-leased-properties-iolp,8f51a658-e9e2-4c93-ba15-7be91a95c29f,2026 - 1 - 16 - IOLP Leases.xlsx,9ef44cda-4c8f-4cff-8df5-7a87fe7800ec,XLS,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,https://inventory.data.gov/dataset/9a9e946e-124e-46f5-a934-e458a6c1c2b2/resource/0d5a7470-5eba-4c2e-93fa-4fd8787b3659/download/2026-1-16-iolp-leases.xlsx,2026-1-16-iolp-leases.xlsx,2026-1-16-iolp-leases.xlsx,downloaded\2026-1-16-iolp-leases.xlsx,971430,dde575e874bb78749bd800a4d75b18d40f3c554516e393638b409b7b8fd1f603
2026-01-24T13:57:53Z,downloaded,ok,200,Inventory of Owned and Leased Properties (IOLP),inventory-of-owned-and-leased-properties-iolp,8f51a658-e9e2-4c93-ba15-7be91a95c29f,2026 - 1 - 16 - IOLP Buildings.xlsx,520b6a0f-6eab-4576-92cb-5761b22b0054,XLS,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,https://inventory.data.gov/dataset/9a9e946e-124e-46f5-a934-e458a6c1c2b2/resource/35022c1f-a759-476f-9495-10bf64636538/download/2026-1-16-iolp-buildings.xlsx,2026-1-16-iolp-buildings.xlsx,2026-1-16-iolp-buildings.xlsx,downloaded\2026-1-16-iolp-buildings.xlsx,1012933,c53f7e801d1a7a7f4ab0601e2169b4718ccd9ed03fb323a53a83da02e9850c54
2026-01-24T13:57:57Z,downloaded,ok,200,2017-18 Harassment or Bullying Civil Rights Data Collection,2017-18-harassment-or-bullying-civil-rights-data-collection,c08c24f0-2b71-4f5b-b688-c97e8d19c72a,On basis of disability - disciplined,aa8199d2-c106-448e-b406-26a081e29e2f,XLS,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,https://civilrightsdata.ed.gov/assets/downloads/2017-2018/School-Climate/Harassment-or-Bullying/Harassment-Bullying-on-basis-of-disability_discplined.xlsx,Harassment-Bullying-on-basis-of-disability_discplined.xlsx,Harassment-Bullying-on-basis-of-disability_discplined.xlsx,downloaded\Harassment-Bullying-on-basis-of-disability_discplined.xlsx,53544,254b12e1562f93b9060461208cfa749b5b370ac6e7dcc444a6cc30f04ccde366
2026-01-24T13:57:59Z,downloaded,ok,200,2017-18 Harassment or Bullying Civil Rights Data Collection,2017-18-harassment-or-bullying-civil-rights-data-collection,c08c24f0-2b71-4f5b-b688-c97e8d19c72a,On basis of disability - reported,22e13273-a688-4620-ae9d-18e38caca415,XLS,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,https://civilrightsdata.ed.gov/assets/downloads/2017-2018/School-Climate/Harassment-or-Bullying/Harassment-Bullying-on-basis-of-disability_reported.xlsx,Harassment-Bullying-on-basis-of-disability_reported.xlsx,Harassment-Bullying-on-basis-of-disability_reported.xlsx,downloaded\Harassment-Bullying-on-basis-of-disability_reported.xlsx,51431,72de8cbc5e3db7a7423ce17ef6ad789e59ac83935fae0433016fae4aee1fb35b
2026-01-24T13:58:00Z,downloaded,ok,200,2017-18 Harassment or Bullying Civil Rights Data Collection,2017-18-harassment-or-bullying-civil-rights-data-collection,c08c24f0-2b71-4f5b-b688-c97e8d19c72a,On basis of race - disciplined,5e36e9a2-28a8-46ce-916a-2f4801a9037c,XLS,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,https://civilrightsdata.ed.gov/assets/downloads/2017-2018/School-Climate/Harassment-or-Bullying/Harassment-Bullying-on-basis-of-race_disciplined.xlsx,Harassment-Bullying-on-basis-of-race_disciplined.xlsx,Harassment-Bullying-on-basis-of-race_disciplined.xlsx,downloaded\Harassment-Bullying-on-basis-of-race_disciplined.xlsx,54146,462637c03a6dc9bcc4e7c60c8ae8c8035b3e5dc88d9f4e85674362ac8e0b60ed
2026-01-24T13:58:01Z,downloaded,ok,200,2017-18 Harassment or Bullying Civil Rights Data Collection,2017-18-harassment-or-bullying-civil-rights-data-collection,c08c24f0-2b71-4f5b-b688-c97e8d19c72a,On basis of race - reported,e8fd47b1-1635-4543-80fa-b5fe58ccaf16,XLS,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,https://civilrightsdata.ed.gov/assets/downloads/2017-2018/School-Climate/Harassment-or-Bullying/Harassment-Bullying-on-basis-of-race_reported.xlsx,Harassment-Bullying-on-basis-of-race_reported.xlsx,Harassment-Bullying-on-basis-of-race_reported.xlsx,downloaded\Harassment-Bullying-on-basis-of-race_reported.xlsx,67539,5a4d7fe708a6d6ed625027359c118ea349f5574b6e0870c6667afd2ee656a15e
2026-01-24T13:58:02Z,downloaded,ok,200,2017-18 Harassment or Bullying Civil Rights Data Collection,2017-18-harassment-or-bullying-civil-rights-data-collection,c08c24f0-2b71-4f5b-b688-c97e8d19c72a,On basis of sex - disciplined,0bc8e1a2-c26a-483b-a093-b14b5ad34981,XLS,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,https://civilrightsdata.ed.gov/assets/downloads/2017-2018/School-Climate/Harassment-or-Bullying/Harassment-Bullying-on-basis-of-sex_disciplined.xlsx,Harassment-Bullying-on-basis-of-sex_disciplined.xlsx,Harassment-Bullying-on-basis-of-sex_disciplined.xlsx,downloaded\Harassment-Bullying-on-basis-of-sex_disciplined.xlsx,55891,dceed0ce91e6e4db440b3fd1593657367b7661c82dcfc54ea878c56cdb437739
2026-01-24T13:58:03Z,downloaded,ok,200,2017-18 Harassment or Bullying Civil Rights Data Collection,2017-18-harassment-or-bullying-civil-rights-data-collection,c08c24f0-2b71-4f5b-b688-c97e8d19c72a,On basis of sex - reported,31460f63-ba86-4668-95cb-ecac694e96ff,XLS,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,https://civilrightsdata.ed.gov/assets/downloads/2017-2018/School-Climate/Harassment-or-Bullying/Harassment-Bullying-on-basis-of-sex_reported.xlsx,Harassment-Bullying-on-basis-of-sex_reported.xlsx,Harassment-Bullying-on-basis-of-sex_reported.xlsx,downloaded\Harassment-Bullying-on-basis-of-sex_reported.xlsx,55060,d7be37ec56ffbbb68a7f4fdb01fb1a4017c5fca9baed22a1639cb4e5a57cbc4a
